Case value: 5
                     ruby: | 0 failed |     0.007s overall | score:     1.000 |
Case value: 25
                     objc: | 0 failed |     0.011s overall | score:     1.000 |
                      lua: | 0 failed |     0.046s overall | score:     4.210 |
                 js on v8: | 0 failed |     0.058s overall | score:     5.358 |
                nu w/objc: | 0 failed |     0.066s overall | score:     6.058 |
            macruby w/aot: | 0 failed |     0.089s overall | score:     8.127 |
            sbcl compiled: | 0 failed |     0.096s overall | score:     8.825 |
          f-script w/objc: | 0 failed |     0.100s overall | score:     9.183 |
                     sbcl: | 0 failed |     0.124s overall | score:    11.411 |
                   falcon: | 0 failed |     0.135s overall | score:    12.333 |
                  macruby: | 0 failed |     0.136s overall | score:    12.461 |
                   python: | 0 failed |     0.136s overall | score:    12.487 |
                   coffee: | 0 failed |     0.166s overall | score:    15.182 |
                     ruby: | 0 failed |     0.199s overall | score:    18.269 |
           macruby w/objc: | 0 failed |     0.219s overall | score:    20.065 |
                     perl: | 0 failed |     0.275s overall | score:    25.164 |
                    jruby: | 0 failed |     0.854s overall | score:    78.260 |
                       nu: | 0 failed |     3.824s overall | score:   350.476 |
                 f-script: | 0 failed |    24.284s overall | score:  2225.848 |

Case value: 30
                     objc: | 0 failed |     0.032s overall | score:     1.000 |
                nu w/objc: | 0 failed |     0.090s overall | score:     2.866 |
                 js on v8: | 0 failed |     0.092s overall | score:     2.927 |
          f-script w/objc: | 0 failed |     0.134s overall | score:     4.260 |
            macruby w/aot: | 0 failed |     0.146s overall | score:     4.624 |
            sbcl compiled: | 0 failed |     0.156s overall | score:     4.945 |
                     sbcl: | 0 failed |     0.184s overall | score:     5.845 |
                   coffee: | 0 failed |     0.225s overall | score:     7.153 |
                  macruby: | 0 failed |     0.234s overall | score:     7.441 |
           macruby w/objc: | 0 failed |     0.241s overall | score:     7.654 |
                      lua: | 0 failed |     0.465s overall | score:    14.769 |
                   falcon: | 0 failed |     1.071s overall | score:    33.993 |
                    jruby: | 0 failed |     1.103s overall | score:    35.010 |
                   python: | 0 failed |     1.107s overall | score:    35.132 |
                     ruby: | 0 failed |     2.125s overall | score:    67.452 |
                     perl: | 0 failed |     2.952s overall | score:    93.696 |
                       nu: | 0 failed |    42.562s overall | score:  1351.047 |
                 f-script: | 0 failed |   274.925s overall | score:  8726.948 |

Case value: 35
                     objc: | 0 failed |     0.257s overall | score:     1.000 |
                nu w/objc: | 0 failed |     0.318s overall | score:     1.235 |
          f-script w/objc: | 0 failed |     0.350s overall | score:     1.361 |
                 js on v8: | 0 failed |     0.454s overall | score:     1.763 |
           macruby w/objc: | 0 failed |     0.463s overall | score:     1.800 |
            macruby w/aot: | 0 failed |     0.784s overall | score:     3.046 |
            sbcl compiled: | 0 failed |     0.818s overall | score:     3.178 |
                     sbcl: | 0 failed |     0.842s overall | score:     3.274 |
                   coffee: | 0 failed |     0.853s overall | score:     3.314 |
                  macruby: | 0 failed |     1.380s overall | score:     5.364 |
                    jruby: | 0 failed |     3.956s overall | score:    15.372 |
                      lua: | 0 failed |     5.125s overall | score:    19.919 |
                   falcon: | 0 failed |    11.598s overall | score:    45.074 |
                   python: | 0 failed |    11.875s overall | score:    46.150 |
                     ruby: | 0 failed |    23.344s overall | score:    90.725 |
                     perl: | 0 failed |    32.544s overall | score:   126.477 |
                       nu: | 0 failed |   473.608s overall | score:  1840.603 |
                 f-script: | 0 failed |  3330.532s overall | score: 12943.599 |

Case value: 40
                     objc: | 0 failed |     2.785s overall | score:     1.000 |
           macruby w/objc: | 0 failed |     2.909s overall | score:     1.045 |
          f-script w/objc: | 0 failed |     3.217s overall | score:     1.155 |
                nu w/objc: | 0 failed |     4.319s overall | score:     1.551 |
                 js on v8: | 0 failed |     4.660s overall | score:     1.673 |
            macruby w/aot: | 0 failed |     7.818s overall | score:     2.807 |
                   coffee: | 0 failed |     8.102s overall | score:     2.909 |
            sbcl compiled: | 0 failed |     8.202s overall | score:     2.945 |
                     sbcl: | 0 failed |    10.506s overall | score:     3.772 |
                  macruby: | 0 failed |    13.866s overall | score:     4.979 |
                    jruby: | 0 failed |    35.971s overall | score:    12.916 |
                      lua: | 0 failed |    56.933s overall | score:    20.442 |
                   falcon: | 0 failed |   125.456s overall | score:    45.046 |
                   python: | 0 failed |   131.910s overall | score:    47.364 |
                     ruby: | 0 failed |   259.228s overall | score:    93.078 |
                     perl: | 0 failed |   360.102s overall | score:   129.298 |
                       nu: | 0 failed |  6375.526s overall | score:  2289.197 |
                 f-script: | 0 failed | 38450.093s overall | score: 13805.894 |

Totals:
                     objc: |     3.120 seconds overall | score:    10.691 |
                nu w/objc: |     5.051 seconds overall | score:    61.231 |
                      lua: |    62.607 seconds overall | score:    65.724 |
                 js on v8: |     5.572 seconds overall | score:    67.221 |
            macruby w/aot: |     9.165 seconds overall | score:    81.761 |
          f-script w/objc: |     4.202 seconds overall | score:    92.415 |
            sbcl compiled: |     9.687 seconds overall | score:    97.688 |
                  macruby: |    16.128 seconds overall | score:   127.895 |
                   coffee: |    10.100 seconds overall | score:   169.050 |
                   falcon: |   138.460 seconds overall | score:   169.064 |
                   python: |   145.415 seconds overall | score:   205.164 |
           macruby w/objc: |     5.021 seconds overall | score:   246.756 |
                     ruby: |   284.939 seconds overall | score:   276.599 |
                     perl: |   395.934 seconds overall | score:   385.124 |
                     sbcl: |    14.743 seconds overall | score:   516.843 |
                    jruby: |    45.336 seconds overall | score:   776.835 |
                       nu: |  6896.199 seconds overall | score:  5940.324 |
                 f-script: | 42082.663 seconds overall | score: 38122.532 |
